"","symbol","EntrezGene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000025534","Gusb","110006",2167.72479080306,1.00903603998789,0.0798207434000989,12.6412759015552,1.25008770772803e-36,2.75994134738303e-34
"ENSMUSG00000015947","Fcgr1","14129",413.124130644738,1.27685624344616,0.101201765851559,12.6169364012781,1.70319118668151e-36,3.72611780977187e-34
"ENSMUSG00000021624","Cd180","17079",559.075170373581,2.44625307748047,0.194216882500717,12.595470826134,2.23621580568338e-36,4.84815615889824e-34
"ENSMUSG00000039013","Siglecf","233186",110.478173824082,2.30328281016054,0.183276592159107,12.5672503129096,3.19648917396189e-36,6.86817071173151e-34
"ENSMUSG00000033777","Tlr13","279572",403.399570808072,1.61376379868986,0.128870781432367,12.5223404464012,5.63486961298275e-36,1.20002776315425e-33
"ENSMUSG00000022831","Hcls1","15163",557.061622006201,1.15090695852828,0.0919244393165163,12.5201411842769,5.79320088841682e-36,1.22292438052413e-33
"ENSMUSG00000051212","Gpr183","321019",164.793667818438,1.80776277396573,0.144871692127458,12.4783713603294,9.79700786275286e-36,2.05013038449694e-33
"ENSMUSG00000036362","P2ry13","74191",979.182935018744,0.890525600066197,0.0714257262570545,12.4678550255307,1.11794924400684e-35,2.31926280664005e-33
"ENSMUSG00000030577","Cd22","12483",102.119111175303,2.61006187848445,0.211679691366107,12.3302422714244,6.22592524447587e-35,1.28057171801976e-32
"ENSMUSG00000025017","Pik3ap1","83490",672.424755732499,0.83482487494676,0.0679010310958381,12.294730455101,9.66787157287711e-35,1.97167228306176e-32
"ENSMUSG00000029915","Clec5a","23845",192.210035993265,1.43624371872765,0.117771430649374,12.1951793470489,3.29777147548968e-34,6.66898071913102e-32
"ENSMUSG00000020573","Pik3cg","30955",616.677093416896,0.98888202106435,0.0812649149743887,12.1686218631497,4.56728620028066e-34,9.08695552601993e-32
"ENSMUSG00000021242","Npc2","67963",5654.00099475531,0.573064775364305,0.0470937625752471,12.1685918479895,4.56896579533934e-34,9.08695552601993e-32
"ENSMUSG00000026285","Pdcd1","18566",75.0494019064432,3.81773524700038,0.314221737333075,12.1498126749697,5.74971829610661e-34,1.13415549832628e-31
"ENSMUSG00000052160","Pld4","104759",953.508144937885,0.803957563509895,0.0662005608438526,12.1442711853483,6.15284013130073e-34,1.20380567284351e-31
